TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES,SKU
Blue Hawaiian flower clay bead bracelet,This is a blue clay bead bracelet with pearls and a blue Hawaiian flower in the middle.,5,USD,2,,,https://i.etsystatic.com/45496600/r/il/2097b8/5394818438/il_fullxfull.5394818438_1zvb.jpg,https://i.etsystatic.com/45496600/r/il/93cd75/5442969469/il_fullxfull.5442969469_mrsr.jpg,,,,,,,,,,,,,,,
Red heart beaded bracelet,This bracelet includes white beads and a red gold heart charm.,2,USD,2,,,https://i.etsystatic.com/45496600/r/il/1e3a4e/5781851441/il_fullxfull.5781851441_q13e.jpg,https://i.etsystatic.com/45496600/r/il/971890/5781851449/il_fullxfull.5781851449_p7hb.jpg,,,,,,,,,,,,,,,
Heart pants and shirt beaded bracelet set,This set includes a heart shirt charm bracelet and a heart pants charm bracelet.,4,USD,1,,,https://i.etsystatic.com/45496600/r/il/881db3/5733764866/il_fullxfull.5733764866_ocqr.jpg,https://i.etsystatic.com/45496600/r/il/8b4cdf/5781841293/il_fullxfull.5781841293_kuwe.jpg,https://i.etsystatic.com/45496600/r/il/0e20ce/5733764874/il_fullxfull.5733764874_892w.jpg,https://i.etsystatic.com/45496600/r/il/c8a939/5733764878/il_fullxfull.5733764878_c88v.jpg,,,,,,,,,,,,,
glamourous pink beaded bracelet,"This pretty pink bracelet has pearls, gold, beads, silver beads, pink beads, etc. This bracelet is gorgeous for any occasion.",2,USD,3,"pink,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/890f9e/6591352136/il_fullxfull.6591352136_59ay.jpg,https://i.etsystatic.com/45496600/r/il/aff118/6591352138/il_fullxfull.6591352138_kqb9.jpg,,,,,,,,,,,,,,,
Purple heart clay bead bracelet,This purple bracelet has silver spacers and a silver heart in the middle.,5,USD,2,"purple,heart,valentines_day",,https://i.etsystatic.com/45496600/r/il/3f2878/6591346592/il_fullxfull.6591346592_sq9v.jpg,https://i.etsystatic.com/45496600/r/il/8719ee/6639459101/il_fullxfull.6639459101_1p4h.jpg,,,,,,,,,,,,,,,
love beaded bracelet,This bracelet is a Valentine’s Day bracelet with the sayings love on it with the O being a heart and a cute pattern with red and pink beads.,2,USD,3,"love,beaded_bracelet,Valentine",,https://i.etsystatic.com/45496600/r/il/55ef47/6591331310/il_fullxfull.6591331310_4fsp.jpg,https://i.etsystatic.com/45496600/r/il/02d204/6591331308/il_fullxfull.6591331308_hk98.jpg,,,,,,,,,,,,,,,
anchor down clay bead bracelet,This bracelet includes summer colored beads with silver spacers and a silver anchor at the middle.,5,USD,2,"anchor,beachy,summer,clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/b2a31a/6591340600/il_fullxfull.6591340600_1bpc.jpg,https://i.etsystatic.com/45496600/r/il/9df6d2/6591340596/il_fullxfull.6591340596_g8ld.jpg,,,,,,,,,,,,,,,
full heart clay bead bracelet,This bracelet has a variety of color with a pink heart in the center.,5,USD,2,"pink,heart,valentine",,https://i.etsystatic.com/45496600/r/il/aef8bd/6591323412/il_fullxfull.6591323412_i8gj.jpg,https://i.etsystatic.com/45496600/r/il/fb89d6/6639436397/il_fullxfull.6639436397_in1e.jpg,,,,,,,,,,,,,,,
pink heart beaded bracelet,This beaded bracelet has a variety of pink beads with a gold heart in the center,2,USD,4,"pink,gold_heart,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/92dc47/6639430309/il_fullxfull.6639430309_bxml.jpg,https://i.etsystatic.com/45496600/r/il/7e59c8/6591316970/il_fullxfull.6591316970_8jpx.jpg,,,,,,,,,,,,,,,
pinky promise beaded bracelet,This bracelet has a variety of pink and white beads. This bracelet is a perfect gift for Valentine’s Day or any occasion that could need some pink to the outfit.,2,USD,2,"pink,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/3c1619/6639424311/il_fullxfull.6639424311_kovc.jpg,https://i.etsystatic.com/45496600/r/il/2ea8cb/6591310740/il_fullxfull.6591310740_oqil.jpg,,,,,,,,,,,,,,,
tiger clay bead bracelet,"This tiger bracelet includes variety of colors including black, white and orange with gold spacer beads and a cute gold tiger charm in the middle.",5,USD,2,"tiger,orange,clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/2120cd/6639416843/il_fullxfull.6639416843_7lqu.jpg,https://i.etsystatic.com/45496600/r/il/eda572/6591303000/il_fullxfull.6591303000_8fhv.jpg,,,,,,,,,,,,,,,
blue snowflake clay bead bracelet,This bracelet includes variety of blue colors and a cute gold snowflake charm in the middle.,5,USD,3,"snowflake,blue,Clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/1f5efc/6639410465/il_fullxfull.6639410465_q5vv.jpg,https://i.etsystatic.com/45496600/r/il/a0d466/6639410461/il_fullxfull.6639410461_ckmv.jpg,,,,,,,,,,,,,,,
cartoon starfish clay bead bracelet,"This bracelet includes a variety of colors in pink and a cute, cartoon starfish charm.",5,USD,2,"starfish,Clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/f95884/6591290782/il_fullxfull.6591290782_pqep.jpg,https://i.etsystatic.com/45496600/r/il/803bd1/6639404299/il_fullxfull.6639404299_jnjs.jpg,,,,,,,,,,,,,,,
pink crystal beaded bracelet,This bracelet has unique beads with a variation of shades in pink.,1.5,USD,3,"pink,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/b1717e/6591282730/il_fullxfull.6591282730_m6x4.jpg,https://i.etsystatic.com/45496600/r/il/a62127/6639396013/il_fullxfull.6639396013_mog1.jpg,,,,,,,,,,,,,,,
pink spring clay bead bracelet,This spring bracelet has a beautiful pattern of color with a pink flower charm.,5,USD,3,"flower,clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/fb8f5b/6639383141/il_fullxfull.6639383141_6ifd.jpg,https://i.etsystatic.com/45496600/r/il/76b28f/6591269936/il_fullxfull.6591269936_6ucf.jpg,,,,,,,,,,,,,,,
spider and its web clay bead bracelet set,This bracelet set includes an one bracelet with a spider and the other with a web. This is a perfect gift for loved ones around the fall season.,7,USD,1,"set,spider_bracelet,web_bracelet,Halloween",,https://i.etsystatic.com/45496600/r/il/f8d4e6/6591260470/il_fullxfull.6591260470_42v6.jpg,https://i.etsystatic.com/45496600/r/il/21b014/6591260472/il_fullxfull.6591260472_aigf.jpg,https://i.etsystatic.com/45496600/r/il/b9f519/6639373543/il_fullxfull.6639373543_p2lc.jpg,https://i.etsystatic.com/45496600/r/il/cda366/6591260474/il_fullxfull.6591260474_kbep.jpg,https://i.etsystatic.com/45496600/r/il/d96d5b/6639373539/il_fullxfull.6639373539_qjzz.jpg,,,,,,,,,,,,
purple crystal beaded bracelet,This bracelet has unique beads in a variation of purple colors.,1.5,USD,2,"purple,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/e80396/6639358717/il_fullxfull.6639358717_461m.jpg,https://i.etsystatic.com/45496600/r/il/b398cf/6639358715/il_fullxfull.6639358715_1tue.jpg,,,,,,,,,,,,,,,
pink rainbow clay bead bracelet,This clay bead bracelet has a mix of pinks and colors of the rainbow.,3,USD,2,Clay_bead_bracelet,,https://i.etsystatic.com/45496600/r/il/68881e/6639365305/il_fullxfull.6639365305_23ym.jpg,https://i.etsystatic.com/45496600/r/il/6cc130/6639365303/il_fullxfull.6639365303_jrek.jpg,,,,,,,,,,,,,,,
